Excerpt 1,Excerpt 2,Excerpt 3,Excerpt 4,Excerpt 5,Excerpt 6,Excerpt 7,Excerpt 8,Excerpt 9,Excerpt 10,Excerpt 11,Excerpt 12,Excerpt 13,Excerpt 14,Excerpt 15,Excerpt 16,Excerpt 16,Excerpt 17,Excerpt 18,Excerpt 19,Excerpt 20,Excerpt 21,Excerpt 22,Excerpt 23,Excerpt 24,Excerpt 25,Excerpt 26,Excerpt 27,Excerpt 28,Excerpt 29,Excerpt 30,Q9,Q11,Q15,Q13,Q13_11_TEXT,Q23,Q19,Q29,Q22,Q23,Q24,Q21,Q33,Q27,Q31,Q25,Q17,Q35
"Colore,Transparent,Mysterieux",,,"Colore,Surprenant,Mysterieux",,"Monotone,Rapide",,"Doux,Dansant,Vaillant",,"Puissant,Long,Incisif,Monotone","Triste,Solennel,Lent",,"Exotique,Chaleureux,Bavard,Fort",,"Terne,Long,Lent",,"Surprenant,Fort,Joyeux",,"Changeant,Surprenant,Fort,Lent","Colore,Changeant,Rapide,Dansant",,,"Monotone,Mysterieux","Colore,Chaleureux,Fort,Dansant,Joyeux","Puissant,Incisif",,"Colore,Changeant,Chaleureux,Joyeux",,,,,21,Homme,FR,Etudiant,,0,,,Oui,Guitare ,4,Non,,Oui,Batterie,2,Non,
,,"Long,Inquietant,Lent,Vaillant","Colore,Changeant,Puissant,Agressif,Surprenant,Fort,Dansant,Joyeux",,,"Complexe,Changeant,Incisif,Mysterieux,Inquietant,Sombre",,"Agressif,Surprenant,Dansant",,"Triste,Melancolique,Chaleureux,Tendre,Solennel,Lent","Complexe,Changeant,Agressif,Surprenant,Solennel","Colore,Rapide,Dansant,Clair,Joyeux,Brillant","Terne,Faible,Epure,Lent",,"Complexe,Incisif,Agressif,Bavard,Rapide",,,"Complexe,Changeant,Terne,Melancolique,Surprenant,Mysterieux,Inquietant,Sombre",,"Colore,Doux,Chaleureux,Tendre,Joyeux,Solennel,Brillant",,,"Colore,Chaleureux,Rapide,Dansant,Joyeux",,"Court,Rapide,Mysterieux","Colore,Surprenant,Rapide,Dansant,Joyeux",,,"Faible,Melancolique,Clair",,20,Femme,FR,Etudiant,,0,,,Non,,,Oui,2 ans,Non,,,,
,"Incisif,Melancolique,Surprenant,Mysterieux,Clair","Triste,Puissant,Mysterieux,Solennel,Lent",,,"Terne,Monotone,Transparent",,"Monotone,Chaleureux,Lent","Complexe,Changeant,Terne,Agressif,Mysterieux",,"Colore,Doux,Melancolique,Epure,Chaleureux,Tendre,Vaillant","Complexe,Triste,Fort,Mysterieux,Inquietant",,,"Colore,Doux,Melancolique,Chaleureux,Fort,Solennel,Vaillant",,"Agressif,Rapide",,"Triste,Agressif,Surprenant,Inquietant,Sombre",,"Chaleureux,Solennel,Lent","Melancolique,Tendre,Mysterieux,Solennel",,,,,"Surprenant,Solennel",,"Long,Monotone,Chaleureux",,"Changeant,Melancolique,Chaleureux,Surprenant,Tendre,Mysterieux,Brillant,Vaillant",19,Aucun ou prefere ne pas repondre,FR,Etudiant,,6,Instrumentale,Guitare,Non,,,Oui,1,Non,,,,
,"Dansant,Joyeux",,"Colore,Dansant,Joyeux","Puissant,Inquietant,Lent","Complexe,Agressif,Rapide,Inquietant","Mysterieux,Sombre","Puissant,Chaleureux,Dansant,Joyeux",Joyeux,,"Doux,Melancolique,Tendre",,,,,Rapide,"Agressif,Rapide,Mysterieux","Complexe,Mysterieux,Inquietant",,,"Complexe,Changeant,Surprenant,Solennel","Puissant,Melancolique,Inquietant,Lent","Puissant,Vaillant",,"Triste,Mysterieux,Sombre",,,,,,,19,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Complexe,Surprenant,Vaillant","Long,Surprenant","Doux,Melancolique,Solennel,Sombre",,,"Monotone,Agressif,Surprenant,Inquietant",,,"Complexe,Changeant,Incisif,Surprenant","Monotone,Melancolique,Solennel,Lent",,,"Chaleureux,Joyeux",,"Fort,Joyeux,Solennel",,,,,"Changeant,Rapide,Dansant,Joyeux","Monotone,Joyeux,Solennel,Vaillant",,,,"Inquietant,Solennel",,"Complexe,Rapide,Joyeux",,"Monotone,Melancolique","Agressif,Joyeux",,23,Femme,FR,Etudiant,,2,Instrumentale,Guitare,Non,,,Non,,Non,,,,
,"Complexe,Colore,Doux,Melancolique,Vaillant",,"Complexe,Surprenant,Rapide,Dansant,Solennel,Brillant","Changeant,Terne,Mysterieux","Long,Mysterieux,Inquietant,Sombre","Complexe,Triste,Terne,Faible,Monotone,Inquietant","Colore,Chaleureux,Surprenant,Dansant,Clair,Joyeux,Brillant",,"Triste,Melancolique,Solennel,Lent","Long,Monotone,Melancolique,Solennel",,,,,,"Complexe,Exotique,Rapide",,,,"Melancolique,Solennel,Vaillant","Terne,Monotone,Sombre",,,"Triste,Puissant,Monotone,Melancolique,Mysterieux",,"Colore,Chaleureux,Dansant,Brillant",,"Doux,Epure,Clair,Solennel","Colore,Chaleureux,Tendre,Joyeux",,20 ans,Femme,FR,Etudiant,,1,Vocale,Soprano,Oui,Guitare,1,Oui,2,Oui,Groupe de musique,3,Non,
,"Complexe,Changeant,Surprenant,Mysterieux",,,,"Complexe,Monotone,Surprenant,Mysterieux,Inquietant",,"Colore,Changeant,Exotique,Doux,Chaleureux,Tendre,Joyeux",,,"Triste,Puissant,Doux,Melancolique,Fort,Mysterieux,Solennel,Lent,Vaillant","Complexe,Changeant,Puissant,Doux,Melancolique,Epure,Surprenant,Fort,Tendre,Mysterieux,Inquietant",,"Changeant,Exotique,Surprenant,Fort,Rapide,Mysterieux","Triste,Puissant,Monotone,Agressif,Mysterieux,Inquietant,Solennel,Sombre,Lent","Complexe,Changeant,Surprenant,Rapide,Mysterieux,Vaillant",,"Triste,Terne,Monotone,Melancolique,Mysterieux,Inquietant,Sombre","Complexe,Changeant,Surprenant,Mysterieux,Lent",,"Colore,Changeant,Melancolique,Chaleureux,Clair,Joyeux,Solennel",,,"Colore,Exotique,Doux,Chaleureux,Rapide,Tendre,Dansant,Clair,Joyeux,Brillant,Vaillant",,"Colore,Puissant,Exotique,Doux,Surprenant,Dansant,Joyeux",,"Changeant,Triste,Long,Agressif,Surprenant,Inquietant,Sombre","Colore,Changeant,Puissant,Doux,Chaleureux,Fort,Tendre,Clair,Solennel",,,19,Femme,FR,Etudiant,,4,Vocale,Je ne sais pas,Non,,,Non,,Oui,En cours d'education musicale au college ,4,Non,
,"Rapide,Mysterieux",,,,"Agressif,Surprenant,Fort,Rapide",,,,"Incisif,Melancolique","Doux,Melancolique,Sombre",,,"Rapide,Inquietant",,"Rapide,Mysterieux","Incisif,Rapide,Inquietant","Chaleureux,Fort,Dansant,Brillant","Triste,Dansant,Mysterieux,Inquietant,Lent","Rapide,Joyeux",,"Triste,Agressif,Fort,Dansant",,"Colore,Chaleureux,Joyeux",,"Complexe,Puissant,Agressif,Dansant,Inquietant",,,"Doux,Chaleureux,Dansant,Lent","Complexe,Puissant,Chaleureux,Rapide,Dansant",,18,Femme,FR,Etudiant,,3,Instrumentale,Flute traversiere ,Non,,,Non,,Non,,,,
"Complexe,Puissant,Long",,"Triste,Doux,Melancolique","Changeant,Chaleureux,Surprenant,Rapide,Mysterieux","Inquietant,Sombre","Long,Monotone,Agressif,Inquietant","Mysterieux,Inquietant,Sombre",,"Incisif,Fort,Solennel",,,,"Rapide,Dansant,Joyeux",,,,"Long,Incisif,Agressif,Rapide",,,,"Incisif,Solennel",,Terne,,"Triste,Doux,Epure,Sombre",,"Long,Vaillant",,,"Tendre,Joyeux,Brillant,Vaillant","Triste,Melancolique,Solennel",22,Femme,FR,Etudiant,,4,Instrumentale,Piano,Non,,,Non,,Oui,J'ai pratique la musique par le piano,4,Non,
,,"Puissant,Long,Incisif,Melancolique,Solennel,Vaillant","Colore,Bavard,Surprenant,Rapide,Dansant,Joyeux,Brillant","Triste,Exotique,Incisif,Surprenant,Inquietant",,,"Doux,Melancolique,Transparent,Solennel,Lent","Colore,Changeant,Exotique,Surprenant,Dansant,Clair",,,"Incisif,Melancolique,Surprenant,Solennel",,,"Triste,Puissant,Incisif,Melancolique,Fort,Mysterieux,Solennel,Sombre,Lent",,,"Triste,Incisif,Melancolique",,"Colore,Chaleureux,Rapide,Dansant,Clair,Joyeux,Vaillant","Complexe,Bavard,Fort,Solennel","Puissant,Melancolique,Mysterieux",,,"Incisif,Melancolique,Rapide,Lent",,"Puissant,Epure,Rapide,Dansant,Joyeux,Brillant,Vaillant","Triste,Melancolique,Mysterieux,Sombre",,,"Changeant,Puissant,Chaleureux,Clair",20 ans,Femme,FR,Etudiant,,3,Instrumentale,Piano,Non,,,Oui,2 ans,Oui,Solfege,3 ans,Non,
