Excerpt 1,Excerpt 2,Excerpt 3,Excerpt 4,Excerpt 5,Excerpt 6,Excerpt 7,Excerpt 8,Excerpt 9,Excerpt 10,Excerpt 11,Excerpt 12,Excerpt 13,Excerpt 14,Excerpt 15,Excerpt 16,Excerpt 16,Excerpt 17,Excerpt 18,Excerpt 19,Excerpt 20,Excerpt 21,Excerpt 22,Excerpt 23,Excerpt 24,Excerpt 25,Excerpt 26,Excerpt 27,Excerpt 28,Excerpt 29,Excerpt 30,Q9,Q11,Q15,Q13,Q13_11_TEXT,Q23,Q19,Q29,Q22,Q23,Q24,Q21,Q33,Q27,Q31,Q25,Q17,Q35
"Colore,Puissant,Exotique,Fort,Rapide,Dansant",,"Doux,Melancolique,Epure,Tendre,Lent","Complexe,Colore,Changeant,Exotique,Epure,Chaleureux,Surprenant,Dansant,Joyeux,Brillant","Puissant,Incisif,Doux,Lent,Vaillant","Colore,Chaleureux,Fort,Rapide,Dansant,Joyeux",,,,"Triste,Melancolique",,"Puissant,Fort,Rapide,Mysterieux",,"Doux,Epure,Surprenant,Clair,Brillant","Triste,Melancolique,Fort,Solennel","Doux,Chaleureux,Tendre,Joyeux","Complexe,Colore,Fort,Rapide",,,"Colore,Surprenant,Rapide,Dansant,Joyeux,Brillant","Doux,Chaleureux,Tendre,Dansant,Joyeux",,,"Colore,Chaleureux,Bavard,Rapide,Dansant,Joyeux","Complexe,Puissant,Agressif,Surprenant,Inquietant,Sombre",,,,,,,18 ans ,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Changeant,Surprenant,Rapide,Vaillant","Complexe,Puissant,Dansant","Complexe,Puissant",,,,"Epure,Tendre,Mysterieux",,"Bavard,Rapide,Mysterieux",,,"Changeant,Melancolique,Agressif,Inquietant","Long,Rapide,Dansant","Changeant,Mysterieux","Triste,Terne,Long,Inquietant",,,"Melancolique,Surprenant,Mysterieux,Inquietant",,,"Monotone,Chaleureux,Solennel","Monotone,Melancolique",Monotone,,,"Colore,Chaleureux,Rapide,Dansant",,"Melancolique,Inquietant,Sombre,Lent",,,,22,Femme,FR,Etudiant,,0,,,Non,,,Oui,2 ans,Non,,,,
"Agressif,Fort,Rapide,Joyeux",,,"Changeant,Incisif,Surprenant,Rapide",,,,,"Changeant,Long,Monotone,Surprenant","Triste,Doux,Melancolique,Epure,Tendre,Solennel,Sombre,Lent","Doux,Epure,Tendre",,,"Colore,Chaleureux,Dansant,Vaillant",,,"Changeant,Rapide",Surprenant,,"Chaleureux,Rapide,Vaillant",,,,"Bavard,Rapide,Dansant,Joyeux","Terne,Monotone,Agressif,Lent","Agressif,Bavard,Rapide",,,"Triste,Monotone,Melancolique,Chaleureux","Chaleureux,Dansant","Triste,Melancolique,Sombre",18,Femme,FR,Etudiant,,1,Instrumentale,Clarinette et guitare,Non,,,Non,,Oui,Solfege et cours de clarinette et guitare ,Solfege 3 ans clarinette 1 an et guitare 3 ans,Non,
,"Surprenant,Mysterieux,Solennel","Changeant,Long,Epure,Solennel",,,,"Triste,Monotone,Melancolique,Inquietant,Sombre","Chaleureux,Dansant,Joyeux,Brillant",,,,"Changeant,Surprenant,Dansant,Vaillant",,,"Tendre,Solennel","Complexe,Colore,Changeant,Incisif,Agressif,Bavard,Surprenant,Rapide","Incisif,Agressif,Surprenant,Inquietant",,"Triste,Terne,Monotone,Mysterieux","Colore,Exotique,Chaleureux,Rapide,Joyeux,Brillant",,"Changeant,Incisif,Surprenant","Bavard,Surprenant,Solennel",,,"Colore,Incisif,Dansant,Joyeux","Changeant,Dansant,Joyeux,Brillant","Melancolique,Agressif,Mysterieux,Sombre",,,,18 ans ,Femme,FR,Etudiant,,2,Instrumentale,Guitare ,Non,,,Oui,1 an,Non,,,,
"Changeant,Fort,Joyeux","Chaleureux,Surprenant","Complexe,Triste",,,Monotone,"Agressif,Bavard",Solennel,"Changeant,Epure,Agressif",,,"Complexe,Mysterieux,Inquietant",,Faible,"Puissant,Melancolique,Tendre",,,"Doux,Tendre",,,Dansant,,Sombre,"Colore,Fort,Rapide,Joyeux",,,,Melancolique,,,,21,Homme,FR,Cadres et profession intellectuelle superieure,,0,,,Oui,Guitare,1,Oui,3 ans,Oui,Autodidacte ,2 ans,Non,
"Complexe,Puissant,Incisif","Colore,Incisif,Surprenant,Inquietant",,"Incisif,Agressif,Brillant","Complexe,Inquietant,Joyeux,Sombre",,"Long,Monotone,Mysterieux,Inquietant",,,"Long,Faible,Doux,Solennel",,,,,,"Complexe,Colore,Rapide","Complexe,Changeant,Bavard",,,"Surprenant,Joyeux,Brillant","Rapide,Clair,Joyeux,Solennel,Vaillant","Long,Tendre,Dansant,Lent",,"Colore,Rapide,Joyeux,Vaillant","Complexe,Inquietant,Solennel,Lent",,,,"Melancolique,Fort,Tendre,Dansant",,"Triste,Long,Doux,Melancolique,Clair",23,Femme,FR,Etudiant,,10,Instrumentale,Piano,Oui,Guitare,1,Oui,1 an,Non,,,,
,,,"Fort,Rapide,Joyeux",,,,"Doux,Epure,Dansant","Terne,Surprenant,Clair",,"Long,Monotone,Transparent","Complexe,Long,Incisif","Changeant,Dansant,Brillant","Chaleureux,Mysterieux",,"Colore,Faible,Rapide",,"Melancolique,Mysterieux,Solennel","Puissant,Melancolique,Solennel",,,,,,,"Court,Rapide,Clair","Surprenant,Rapide","Triste,Melancolique,Inquietant",,"Colore,Bavard,Joyeux","Terne,Long,Lent",21,Femme,FR,Etudiant,,0,,,Non,,,Oui,1 an,Oui,KOSMA,Au moins 10 ans,Non,
,"Complexe,Changeant,Bavard,Surprenant,Inquietant","Triste,Doux,Epure,Mysterieux",,,"Monotone,Agressif,Surprenant,Rapide,Mysterieux,Inquietant",,,,"Triste,Long,Melancolique,Fort,Mysterieux,Inquietant,Solennel,Lent","Triste,Puissant,Doux,Melancolique,Epure,Tendre",,,"Colore,Court,Surprenant,Dansant,Inquietant",,"Incisif,Melancolique,Rapide,Mysterieux,Solennel",,"Complexe,Triste,Melancolique,Mysterieux,Inquietant","Mysterieux,Inquietant,Sombre","Monotone,Surprenant,Dansant",,,,"Chaleureux,Rapide,Dansant,Joyeux","Puissant,Incisif,Melancolique,Surprenant,Mysterieux,Sombre",,"Complexe,Surprenant,Rapide,Joyeux","Puissant,Agressif,Mysterieux,Inquietant",,"Changeant,Chaleureux,Rapide,Dansant",,20,Femme,FR,Etudiant,,6,Instrumentale,Piano,Non,,,Oui,1,Oui,Par moi même apres l'arrêt des cours solfeges j'ai continue ,Depuis 2015,Non,
"Puissant,Brillant","Changeant,Vaillant",,Joyeux,Mysterieux,,"Mysterieux,Sombre",,"Surprenant,Lent",,,"Agressif,Surprenant","Dansant,Brillant",,,,Melancolique,,,,"Puissant,Solennel","Doux,Melancolique,Chaleureux","Puissant,Bavard",,,"Agressif,Mysterieux",,,"Court,Doux,Dansant",,Solennel,18,Homme,FR,Etudiant,,12,Instrumentale,Piano principalement,Oui,Guitare,4,Oui,5 ans,Oui,En groupe,6 ans,Non,
"Incisif,Vaillant",,,"Colore,Joyeux","Bavard,Surprenant",,,"Colore,Joyeux",,"Melancolique,Tendre","Changeant,Tendre",,Agressif,,"Triste,Lent",,Agressif,"Mysterieux,Sombre",,"Colore,Joyeux","Solennel,Lent",,,,,"Surprenant,Mysterieux,Inquietant","Colore,Bavard,Rapide",,,"Colore,Chaleureux,Dansant,Joyeux",,23,Femme,FR,Etudiant,,3,Instrumentale,Piano,Oui,Piano,2,Non,,Non,,,,
"Colore,Changeant,Puissant,Long,Chaleureux,Bavard,Fort,Dansant,Clair,Joyeux,Brillant,Vaillant",,"Triste,Puissant,Melancolique,Rapide,Clair","Complexe,Colore,Changeant,Puissant,Epure,Chaleureux,Bavard,Rapide,Dansant,Clair,Joyeux,Brillant,Vaillant",,,,"Colore,Puissant,Chaleureux,Bavard,Fort,Rapide,Dansant,Joyeux,Solennel,Brillant,Vaillant",,"Triste,Melancolique,Solennel","Incisif,Surprenant,Rapide,Clair,Solennel,Brillant","Exotique,Incisif,Agressif,Fort,Rapide,Mysterieux",,"Complexe,Colore,Changeant,Long,Chaleureux,Dansant,Joyeux,Vaillant","Long,Monotone,Agressif,Surprenant,Solennel",,"Complexe,Long,Monotone,Rapide","Changeant,Triste,Melancolique,Clair,Joyeux","Changeant,Triste,Incisif,Melancolique,Agressif,Mysterieux",,,,"Complexe,Long,Monotone,Transparent,Rapide,Dansant,Clair,Brillant",,,"Colore,Court,Puissant,Exotique,Monotone,Fort,Rapide,Dansant,Joyeux,Vaillant",,,"Complexe,Colore,Puissant,Long,Exotique,Agressif,Bavard,Fort,Dansant,Joyeux,Brillant",,,19 ans,Homme,FR,Etudiant,,9,Vocale,Soprano/ Tenor/ Contre-tenor,Non,,,Oui,9 ans,Non,,,,
"Puissant,Melancolique,Rapide,Solennel",,"Triste,Lent",,"Surprenant,Mysterieux,Vaillant",,,"Triste,Puissant,Melancolique,Chaleureux,Transparent,Fort",,,"Changeant,Melancolique,Epure,Fort,Brillant,Vaillant","Complexe,Puissant,Bavard,Fort,Mysterieux",,"Chaleureux,Joyeux,Vaillant",,"Monotone,Agressif,Bavard,Fort,Rapide",,,"Changeant,Terne,Mysterieux,Inquietant,Solennel","Colore,Chaleureux,Rapide,Dansant,Joyeux","Triste,Long,Monotone,Fort,Solennel","Complexe,Monotone,Doux,Inquietant,Sombre",,,,,,"Triste,Court,Puissant,Solennel,Sombre",,"Colore,Chaleureux,Dansant,Joyeux","Triste,Melancolique",25,Femme,FR,Etudiant,,0,,,Non,,,Oui,1 an,Non,,,,
,"Terne,Long",,"Chaleureux,Bavard,Rapide,Dansant,Joyeux",,,"Complexe,Exotique,Incisif,Surprenant,Inquietant",,"Complexe,Chaleureux,Joyeux","Long,Lent",,,"Agressif,Rapide,Joyeux",,"Long,Agressif,Solennel",,"Agressif,Rapide","Complexe,Incisif,Mysterieux",,,,,"Agressif,Solennel","Colore,Chaleureux,Rapide,Dansant,Joyeux","Terne,Monotone,Inquietant,Lent",,"Rapide,Joyeux","Melancolique,Tendre,Lent","Monotone,Melancolique,Tendre,Dansant,Solennel",,,22,Femme,FR,Etudiant,,11,Instrumentale,piano,Non,,,Non,,Non,,,,
,"Colore,Mysterieux,Joyeux,Vaillant",,,,"Complexe,Dansant,Inquietant",,"Changeant,Dansant,Joyeux,Solennel",,,,"Changeant,Surprenant,Vaillant",,,,"Complexe,Rapide,Tendre",,"Melancolique,Surprenant","Long,Melancolique,Sombre","Rapide,Vaillant","Chaleureux,Tendre,Joyeux",,"Court,Solennel,Vaillant","Colore,Rapide,Joyeux","Melancolique,Mysterieux,Solennel","Colore,Rapide,Dansant",,"Triste,Melancolique,Fort,Mysterieux","Colore,Doux,Melancolique,Tendre",,,18,Femme,FR,Etudiant,,0,,,Non,,,Oui,3,Non,,,,
"Changeant,Puissant,Fort,Vaillant","Surprenant,Joyeux","Terne,Melancolique,Mysterieux",,"Changeant,Mysterieux,Inquietant,Sombre","Agressif,Bavard,Rapide,Inquietant","Surprenant,Mysterieux,Inquietant",,,"Melancolique,Chaleureux,Tendre",,,,,"Long,Melancolique,Mysterieux,Solennel",,,"Triste,Melancolique,Inquietant",,"Bavard,Dansant,Joyeux","Doux,Solennel",,"Changeant,Incisif,Agressif,Bavard",,"Changeant,Terne,Mysterieux,Inquietant","Incisif,Agressif,Rapide,Brillant",,"Colore,Puissant,Doux,Epure,Tendre",,,,19,Femme,FR,Etudiant,,14,Instrumentale,Flute traversiaire et mezzo-soprano,Non,,,Oui,5 ans ,Oui,"Solfege, flute traversiaire et chant ",14 ans en tout ,Non,
"Complexe,Changeant,Bavard,Surprenant,Rapide,Mysterieux",,"Puissant,Melancolique,Mysterieux,Solennel,Sombre",,,"Incisif,Monotone,Agressif,Surprenant,Rapide,Inquietant,Sombre","Changeant,Triste,Agressif,Surprenant,Inquietant,Sombre,Lent",,"Puissant,Surprenant,Clair,Solennel,Vaillant",,"Melancolique,Tendre",,"Rapide,Dansant,Joyeux",,,"Incisif,Agressif,Bavard,Rapide,Clair","Complexe,Court,Incisif,Agressif,Surprenant,Rapide",,"Puissant,Melancolique,Mysterieux,Inquietant,Sombre,Lent",,,"Complexe,Puissant,Melancolique,Tendre,Solennel,Lent","Changeant,Puissant,Fort,Solennel,Vaillant","Exotique,Incisif,Bavard,Rapide,Dansant,Clair,Joyeux",,"Incisif,Agressif,Surprenant,Rapide,Mysterieux,Solennel,Vaillant","Bavard,Transparent,Joyeux",,,,,20,Femme,FR,Etudiant,,6,Instrumentale,Guitare et flute,Oui,Guitare ,3,Non,,Oui,Solfege ,6 ans ,Non,
"Changeant,Surprenant,Vaillant",,"Court,Mysterieux,Lent",,"Complexe,Agressif,Mysterieux,Solennel,Vaillant",,,,,,"Chaleureux,Tendre","Changeant,Puissant,Solennel",,"Complexe,Changeant,Agressif,Surprenant,Vaillant",,,"Complexe,Puissant,Bavard,Fort,Rapide","Triste,Doux,Transparent",,,"Changeant,Monotone,Chaleureux","Dansant,Mysterieux",,"Complexe,Bavard,Rapide",,,,"Long,Monotone,Surprenant","Doux,Dansant,Solennel","Colore,Bavard,Solennel","Triste,Fort",21,Femme,FR,Etudiant,,8,Instrumentale,guitare,Oui,ukulele,0.5,Oui,1an,Non,,,,
,Incisif,,,Complexe,,"Agressif,Mysterieux,Inquietant",,Rapide,,,,"Chaleureux,Rapide","Surprenant,Tendre",,,,,,Fort,,,"Epure,Tendre","Colore,Chaleureux,Surprenant,Dansant","Melancolique,Solennel","Agressif,Fort","Rapide,Dansant,Joyeux","Puissant,Fort,Sombre",,Joyeux,Melancolique,20,Femme,FR,Etudiant,,4,Instrumentale,Piano ,Non,,,Oui,2,Non,,,,
,"Colore,Changeant,Incisif,Clair,Joyeux",,"Changeant,Rapide","Puissant,Doux,Chaleureux,Solennel,Lent","Monotone,Agressif,Surprenant,Rapide,Mysterieux,Inquietant","Surprenant,Mysterieux",,Dansant,,,,,"Colore,Clair,Joyeux",,"Agressif,Rapide",,"Melancolique,Solennel,Sombre","Colore,Doux,Solennel",Joyeux,"Chaleureux,Tendre,Solennel","Colore,Chaleureux,Solennel",,,,,,"Surprenant,Inquietant,Sombre","Colore,Changeant,Clair",,,18,Homme,FR,Etudiant,,4,Instrumentale,"Violon, Basse, Guitare",Oui,Basse,1,Non,,Non,,,,
"Colore,Puissant,Chaleureux,Rapide,Dansant,Joyeux",,"Monotone,Melancolique,Inquietant",,,,,"Epure,Chaleureux,Tendre,Dansant,Clair,Brillant",,"Triste,Long,Melancolique,Tendre,Solennel","Doux,Mysterieux,Joyeux","Complexe,Changeant,Puissant,Surprenant,Mysterieux,Inquietant","Rapide,Dansant,Joyeux","Colore,Exotique,Chaleureux","Triste,Terne,Faible,Melancolique,Lent",,"Chaleureux,Rapide",,,,,,,"Colore,Exotique,Chaleureux,Dansant,Joyeux","Triste,Melancolique,Inquietant,Lent",,"Chaleureux,Rapide,Dansant,Joyeux,Brillant",,,"Colore,Chaleureux,Rapide,Dansant","Triste,Long,Melancolique,Inquietant",20,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Changeant,Puissant,Rapide,Joyeux,Vaillant",,"Doux,Melancolique,Chaleureux,Solennel,Lent","Terne,Exotique,Rapide","Changeant,Mysterieux,Inquietant","Monotone,Rapide,Inquietant",,,"Changeant,Clair,Lent",,"Colore,Tendre",,"Epure,Mysterieux","Colore,Doux,Mysterieux",,,,,"Surprenant,Mysterieux,Sombre","Chaleureux,Rapide,Dansant",,,"Surprenant,Solennel,Lent",,,,"Complexe,Rapide,Vaillant","Triste,Melancolique,Mysterieux,Lent",,,"Doux,Tendre,Lent",20 ans,Homme,FR,Etudiant,,10,Instrumentale,Trompette,Non,,,Non,,Non,,,,
,,,"Changeant,Chaleureux,Bavard,Rapide,Joyeux","Surprenant,Fort,Mysterieux,Inquietant",,"Terne,Surprenant,Rapide,Mysterieux,Inquietant","Colore,Doux,Chaleureux,Tendre,Dansant,Clair,Joyeux","Complexe,Changeant,Surprenant,Mysterieux,Solennel,Brillant",,"Colore,Epure,Chaleureux,Tendre,Joyeux,Lent","Complexe,Surprenant,Mysterieux",,,"Triste,Melancolique,Fort,Tendre",,"Complexe,Surprenant,Rapide,Inquietant",,"Terne,Clair,Inquietant","Colore,Incisif,Doux,Epure,Dansant",,,"Doux,Epure,Tendre,Clair",,,"Exotique,Surprenant,Dansant,Joyeux",,"Puissant,Incisif,Melancolique,Epure,Tendre","Puissant,Melancolique,Clair",,,18,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
,"Bavard,Tendre","Changeant,Solennel",,,,,"Epure,Clair",,,"Puissant,Transparent","Complexe,Changeant",,Dansant,,Tendre,,"Exotique,Mysterieux,Clair",,"Incisif,Vaillant","Chaleureux,Dansant,Joyeux",Epure,"Bavard,Dansant,Joyeux",,,"Surprenant,Rapide,Vaillant",,"Puissant,Doux","Doux,Epure",,,19,Homme,FR,Etudiant,,9,Instrumentale,Guitare,Non,,,Oui,1 an,Non,,,,
,"Colore,Changeant,Dansant,Joyeux",,,"Monotone,Agressif,Sombre","Long,Monotone,Bavard,Rapide",,,"Changeant,Long,Rapide","Triste,Terne,Melancolique",,"Changeant,Triste,Puissant,Melancolique,Fort,Rapide,Inquietant",,"Complexe,Changeant,Surprenant,Mysterieux",,"Complexe,Court,Bavard,Rapide","Colore,Changeant,Bavard,Rapide",,"Fort,Mysterieux,Inquietant,Solennel,Sombre","Colore,Changeant,Chaleureux,Rapide,Dansant,Clair","Colore,Court,Chaleureux,Joyeux,Brillant,Vaillant",,"Chaleureux,Rapide,Mysterieux,Joyeux",,,,"Colore,Changeant,Court,Dansant,Joyeux",,,,"Changeant,Triste,Terne,Fort,Solennel",18,Femme,FR,Etudiant,,0,,,Non,,,Non,,Oui,Danse ,7 ans,Non,
,,"Triste,Solennel,Sombre,Lent",,,"Monotone,Agressif",,,"Colore,Court,Chaleureux,Clair,Vaillant","Triste,Faible,Melancolique,Sombre","Melancolique,Lent","Puissant,Melancolique,Bavard",,,"Puissant,Melancolique,Mysterieux,Lent","Complexe,Colore,Bavard,Dansant","Bavard,Fort,Joyeux,Brillant","Faible,Mysterieux",,,,,,"Colore,Chaleureux,Clair,Vaillant",,"Terne,Monotone","Complexe,Court,Puissant","Mysterieux,Inquietant",,,"Puissant,Solennel,Sombre,Lent",22,Homme,FR,Etudiant,,8,Instrumentale,guitare,Non,,,Non,,Non,,,,
,"Changeant,Court,Fort,Brillant",,"Colore,Changeant,Puissant,Chaleureux,Rapide,Dansant,Joyeux,Vaillant","Long,Monotone,Lent",,"Complexe,Changeant,Surprenant,Inquietant","Colore,Chaleureux,Fort,Vaillant","Complexe,Colore,Changeant,Agressif,Bavard,Surprenant,Fort","Doux,Melancolique,Chaleureux,Solennel","Doux,Melancolique,Chaleureux,Tendre","Puissant,Fort,Solennel","Colore,Chaleureux,Joyeux,Solennel",,"Puissant,Doux,Chaleureux,Tendre,Vaillant",,,,,,"Doux,Chaleureux,Solennel","Monotone,Doux,Lent","Rapide,Dansant,Joyeux,Vaillant",,,,,,"Colore,Doux,Melancolique,Chaleureux,Tendre,Vaillant",,,23,Homme,FR,Etudiant,,8,Instrumentale,Violon et guitare,Oui,Piano,1,Non,,Non,,,,
"Changeant,Exotique,Surprenant,Mysterieux,Solennel",,,,,,,"Puissant,Exotique,Fort",,"Triste,Tendre,Clair,Solennel","Chaleureux,Tendre,Brillant",,"Incisif,Monotone,Mysterieux",,,"Agressif,Bavard,Surprenant,Rapide",,,,,"Complexe,Doux,Solennel",,"Incisif,Fort,Dansant,Clair","Colore,Rapide,Dansant,Joyeux","Long,Monotone,Inquietant,Sombre,Lent","Incisif,Fort,Vaillant","Puissant,Fort,Rapide,Brillant",,"Doux,Epure,Chaleureux,Lent","Colore,Puissant,Surprenant,Joyeux","Incisif,Doux,Melancolique,Mysterieux",23,Homme,FR,Etudiant,,16,Instrumentale,tuba,Non,,,Non,,Non,,,,
"Puissant,Fort,Vaillant",,,,"Complexe,Bavard,Inquietant","Puissant,Incisif,Agressif,Surprenant,Inquietant",,,,,"Colore,Dansant,Joyeux,Solennel,Brillant",,,"Doux,Chaleureux,Transparent,Lent","Triste,Melancolique,Solennel,Sombre,Lent","Puissant,Monotone,Clair",,,"Terne,Exotique,Melancolique,Surprenant,Inquietant","Chaleureux,Fort,Brillant,Vaillant",,,"Incisif,Fort,Solennel,Vaillant","Puissant,Chaleureux,Bavard,Rapide,Joyeux,Brillant","Triste,Mysterieux,Solennel,Sombre,Lent","Agressif,Rapide,Mysterieux,Inquietant,Solennel,Sombre","Colore,Puissant,Long,Chaleureux,Bavard,Solennel,Brillant","Triste,Long,Melancolique,Tendre,Solennel,Sombre,Lent",,,,20,Homme,FR,Etudiant,,6,Instrumentale,Piano et guitare,Oui,Guitare puis Piano,6,Oui,2,Oui,En representation,2,Non,
"Agressif,Mysterieux,Solennel,Vaillant","Exotique,Doux,Surprenant,Joyeux",,"Changeant,Chaleureux,Bavard,Mysterieux",,,,"Colore,Joyeux,Solennel",,,,"Changeant,Triste,Surprenant,Inquietant","Rapide,Dansant,Joyeux",,"Complexe,Mysterieux,Lent",,,"Complexe,Triste,Terne,Monotone",,"Exotique,Rapide,Joyeux",,,"Complexe,Chaleureux,Surprenant",Dansant,,"Surprenant,Rapide,Mysterieux,Inquietant",,"Monotone,Melancolique,Agressif,Fort","Triste,Court,Melancolique,Tendre",Dansant,,20,Femme,FR-BE,Etudiant,,4,Instrumentale,piano,Oui,piano,1,Oui,2,Oui,creation,1,Non,
"Complexe,Changeant,Puissant,Incisif,Surprenant","Dansant,Joyeux",,,"Terne,Inquietant,Solennel",Mysterieux,,"Solennel,Vaillant",,"Long,Surprenant",,"Incisif,Fort","Colore,Dansant,Joyeux","Complexe,Dansant",,,,,"Melancolique,Inquietant,Sombre,Lent",,,,"Colore,Doux","Long,Rapide,Dansant,Clair,Joyeux","Long,Mysterieux",,"Colore,Exotique,Chaleureux",,,"Chaleureux,Clair,Joyeux",,20,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Complexe,Changeant,Surprenant",,,,,,"Triste,Terne,Agressif,Inquietant,Sombre",,,,,,,,,,,,"Triste,Doux,Melancolique,Epure",,"Epure,Clair,Solennel","Triste,Terne,Lent","Colore,Surprenant,Dansant,Joyeux",,"Triste,Puissant,Doux,Melancolique,Mysterieux,Inquietant,Solennel,Sombre","Complexe,Changeant,Surprenant","Colore,Dansant,Joyeux,Vaillant",,,"Epure,Clair,Vaillant",,18,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
,"Complexe,Colore,Changeant,Surprenant,Mysterieux","Terne,Sombre,Lent",,"Complexe,Inquietant,Solennel,Lent,Vaillant",,"Incisif,Agressif,Mysterieux",,"Complexe,Monotone,Fort,Solennel",,"Colore,Doux,Chaleureux,Tendre,Dansant,Clair,Joyeux",,,"Puissant,Mysterieux,Joyeux,Vaillant",,,,,"Melancolique,Mysterieux,Solennel,Sombre",,,"Terne,Monotone,Doux,Epure,Tendre,Solennel,Lent",,"Colore,Exotique,Bavard,Rapide,Tendre,Dansant,Joyeux","Triste,Terne,Monotone,Mysterieux,Inquietant,Solennel,Sombre","Complexe,Puissant,Rapide,Inquietant,Vaillant","Complexe,Rapide,Joyeux,Brillant",,"Tendre,Dansant,Solennel,Lent",,"Doux,Melancolique,Epure,Surprenant,Fort,Clair,Lent",19,Femme,FR,Etudiant,,5,Vocale,voix?,Oui,"ukulele, piano",1,Oui,1 an,Oui,groupe de rock (@thedeadogs),5,Non,
,,,"Chaleureux,Rapide,Dansant,Joyeux",,"Incisif,Monotone,Agressif,Inquietant",,"Bavard,Rapide,Dansant,Clair,Joyeux,Brillant",,"Changeant,Puissant,Doux,Melancolique,Agressif,Solennel",,"Complexe,Puissant,Solennel,Vaillant","Monotone,Bavard,Surprenant,Dansant,Joyeux",,"Puissant,Doux,Melancolique,Tendre,Solennel","Exotique,Rapide,Dansant,Joyeux,Vaillant","Colore,Incisif,Surprenant,Rapide,Inquietant","Changeant,Surprenant,Rapide,Mysterieux",,"Colore,Doux,Chaleureux,Rapide,Dansant,Joyeux","Doux,Epure,Chaleureux",,"Changeant,Triste,Melancolique,Surprenant,Inquietant,Vaillant",,,,,"Triste,Melancolique,Tendre,Mysterieux,Solennel,Lent",,"Colore,Incisif,Doux,Chaleureux,Rapide,Dansant,Joyeux,Brillant",,18,Homme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Fort,Dansant,Joyeux,Solennel",,"Doux,Epure,Tendre,Clair","Changeant,Doux,Bavard,Dansant",,"Puissant,Rapide",Triste,"Exotique,Doux,Epure,Chaleureux,Tendre,Dansant,Clair,Joyeux",,"Melancolique,Tendre,Lent","Colore,Doux,Epure,Chaleureux,Joyeux,Lent","Complexe,Changeant,Fort","Colore,Clair,Joyeux",,,"Colore,Agressif,Rapide,Joyeux",,"Faible,Doux,Mysterieux,Lent",,,,,"Mysterieux,Vaillant",,"Triste,Monotone,Melancolique,Clair",,,,,,"Puissant,Surprenant,Mysterieux",17,Femme,FR,Etudiant,,0,,,Non,,,Non,,Oui,Chant,De temps en temps,Non,
,"Changeant,Rapide,Mysterieux",,,"Mysterieux,Inquietant,Sombre",,"Complexe,Surprenant,Inquietant","Colore,Puissant,Incisif,Chaleureux,Joyeux,Brillant,Vaillant",,"Complexe,Changeant,Melancolique","Complexe,Doux","Complexe,Changeant,Surprenant,Lent",,,"Triste,Puissant,Monotone,Melancolique,Solennel,Sombre","Colore,Incisif,Bavard,Rapide,Vaillant",,,,"Puissant,Chaleureux,Rapide,Dansant,Vaillant","Long,Solennel",,,,,,"Rapide,Joyeux,Vaillant","Triste,Puissant,Sombre,Lent","Colore,Chaleureux,Clair,Joyeux",,"Puissant,Melancolique,Fort",24,Homme,FR,Cadres et profession intellectuelle superieure,,0,,,Non,,,Non,,Non,,,,
"Changeant,Bavard,Vaillant","Surprenant,Mysterieux,Inquietant",Faible,,,,"Long,Incisif,Mysterieux,Inquietant",,"Colore,Monotone,Surprenant,Inquietant",,"Triste,Inquietant,Sombre",,,"Complexe,Tendre,Lent",,,,,,"Incisif,Melancolique,Chaleureux,Dansant,Joyeux",,Mysterieux,,Rapide,"Triste,Monotone,Agressif","Incisif,Chaleureux,Bavard,Fort,Brillant","Colore,Fort,Rapide,Joyeux",,"Colore,Dansant,Vaillant",,"Complexe,Brillant,Vaillant",16,Homme,FR,Etudiant,,0,,,Non,,,Oui,2 ans ,Non,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,
,,,"Complexe,Colore,Chaleureux,Bavard,Rapide,Dansant,Mysterieux,Joyeux","Bavard,Dansant","Incisif,Monotone,Rapide","Puissant,Inquietant,Sombre",,,"Doux,Melancolique,Tendre,Clair,Lent",,"Changeant,Monotone,Surprenant,Mysterieux,Solennel","Incisif,Bavard,Rapide,Dansant,Joyeux",,"Melancolique,Solennel,Lent","Agressif,Rapide,Vaillant",,,"Incisif,Mysterieux,Inquietant",,"Epure,Chaleureux,Joyeux,Solennel,Lent",,,,,,"Complexe,Colore,Puissant,Incisif,Chaleureux,Bavard,Rapide,Joyeux",,"Colore,Doux,Melancolique,Dansant","Triste,Bavard,Rapide,Dansant","Triste,Melancolique,Fort,Sombre,Vaillant",21,Femme,FR,Etudiant,,14,Instrumentale,Piano (instrument) et alto (voix),Oui,Ukulele,1,Oui,4,Non,,,,
,,Solennel,,,,,,,,,,,,,,,,,,,,Exotique,,Long,,,,,,,0,Sexe neutre,FR,Etudiant,,1,Instrumentale,0,Non,,,Non,,Non,,,,
