"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27"
"artic.Detache",-0.577966245865836,-0.016720986190564,-0.61989688479417,0.41254690851866,-0.230988047868514,0.829052559387479,-0.81460414640526,-1.15648812611853,0.533365088645095,0.567646637610243,0.923086898971095,0.838315147808898,-0.216498028570558,0.0533246206616064,0.768475904725763,0.399050383901527,-0.969140470939266,-1.91644343850577,-0.241057950262693,-0.299130664442185,-0.570863167436184,-0.477920485937515,-0.277960470654154,0.35596806481475,0.316789241166404,-0.147233723448441,-0.235338347787439
"artic.Legato",0.449992015735423,-0.00490069754096926,0.117112856767053,-0.230288414606754,-0.000780710007002128,0.122533525163626,0.074479294117874,0.0454524196502356,0.101346304347977,0.0559909715136358,-0.028549241455294,-0.02357702391716,-0.0145861314053474,0.0632619813201484,0.0518275280902362,-0.0621195278034625,-0.018723294320075,0.0381540796642993,-0.0393618753003433,-0.00427800637694772,0.0182391479796632,0.0312186968818922,-0.0322637184815313,0.0285891686284333,-0.00922258195486196,-0.021123199051272,-0.0349157270687523
"artic.Marcato",-0.33367018265689,0.0455103366817818,-0.0547557639117454,0.289500444688075,0.20676369306997,-0.221467663796472,-0.0503450375558048,0.0120915961374738,-0.0192832874138896,0.0339593684277871,-0.0164934870942181,-0.00613431497586902,0.00255590504567058,0.00734995612290871,-0.0262599974954824,0.0608803146785641,-0.0445028129260959,-0.0581452329788929,0.0434968623729267,0.167724040673151,-0.022820590330164,-0.0619065467549266,0.0208922349900043,0.0276752805398256,-0.0112067022524983,0.0171159155035866,0.025387714164644
"artic.Spiccato",-1.35240441600648,0.0686955020028278,-0.369888826434621,-1.16427412860307,-0.269876107215379,0.366003040062007,0.157402588617196,0.682706678580306,-1.64536007778529,-0.101762841303094,-1.32409940618694,-0.435724921088501,0.464260384344219,-0.927460546544465,0.310570977906444,0.92338021984679,-0.379162198225008,-0.220482648896494,-0.615049961379698,-0.621540027067852,0.50911894812517,-0.414056050553953,0.0245222186392828,0.272125236955107,-0.130845418881237,0.441470898628682,-0.310967360412858
"artic.Staccato",-0.650814194535413,0.236452198681716,-0.221347153249368,0.020009304851004,-0.245865227899778,-0.135355439755852,-0.0493846721217394,-0.291179266712117,-0.113300935534559,-0.0567157764923438,-0.00793221653664492,-0.11676722322577,0.00555546718061805,0.103075434523084,0.106209425465956,0.0854036768012866,-0.069267036304509,0.0516031289749984,-0.14668928437673,-0.0172962780617408,-0.0131078678094007,0.0485143304087833,-0.0107643836502063,0.0332800321014902,0.00745074402485002,-0.0407868204262756,0.0672840914361056
"artic.Tenuto",0.18550470031877,-0.222773874337732,0.00812903137979516,-0.0464386373463134,0.0281186621122449,-0.0218188690967214,-0.112617434146985,0.0444747837314392,-0.0709255006280672,0.14097394051825,0.122142348613699,0.246656009406831,-0.0239263653792254,-0.246615494438472,-0.0843828343898096,0.140039814347687,0.0314649021388209,0.107314367629432,0.193438079591677,-0.134998087618034,0.087214684812749,0.00308667116620175,0.0057136052317437,-0.0156729389070443,-0.0187051319411685,-0.0335622002924362,0.0367155216729948
"cont.Arch",0.127013256644912,0.222053049271614,0.19987950456368,0.0541231544338281,0.00886304451429087,0.0860375587894279,-0.142215670031584,-0.143837642266986,-0.0722763714066056,0.205661192491345,-0.0680823312030767,0.300147286396143,0.0301139665086876,-0.0766445813292439,-0.146741122457103,-0.136097630954565,-0.0993025683496905,-0.00213199732491697,-0.141177742367913,0.0398250932629869,0.0369039944755318,-0.0414446614588566,-0.101348736770876,-0.0827431807829703,-0.0544547589382485,0.0832205743681308,-0.0506783784520414
"cont.Ascending",-0.04445150133978,-0.376304177429667,-0.29720792438932,-0.369031540445869,0.0961978187794056,-0.231051680903098,0.0495866185962609,0.0234356509678025,-0.0401612730583528,-0.165605124828329,0.0251807587178563,-0.112199226485854,0.198853799112557,-0.0405511002578767,0.0741082569940671,-0.0620093875694656,0.0187388274848721,-0.030135377991413,-0.0332371318807856,-0.0421063753413803,0.0255601703937213,-0.0284376070209325,-0.0237488312201379,0.0438770357678218,0.0220903601151154,0.0116792727085932,-0.0285786796745075
"cont.Descending",0.130403642281724,0.18410807445394,0.0705794422328263,0.35508485555387,-0.035317185071767,0.311220562247578,0.374654840427678,-0.174222169331879,0.114588994347056,-0.0927596298133926,0.212010739011994,-0.0579317731801903,-0.104262226937722,-0.0499177506577554,0.251422854181496,0.0751054324079127,-0.100036653308789,-0.0176074951808332,-0.0116480674298987,0.0323950458644614,0.0171551287403773,0.0306974562230468,0.026641628400074,-0.058150396396482,-0.152947583882507,-0.00580491385737936,0.025294063428998
"cont.Monotone",0.254263962266053,-0.467092391109335,-0.0117531566615652,0.287304475037928,-0.299278777799819,-0.169573443325369,-0.497666903535875,0.379603784125674,-0.633136133599659,0.448042128710956,0.262240554847789,-0.491699808617892,0.331659058783132,-0.147948840589991,0.348708393133187,-0.392048883704253,0.204728416272372,-0.420165838333364,0.279675114648046,0.525352225078606,-0.145351429180342,0.424343528364561,-0.308531917390824,-0.220391251224183,-0.0510008415111976,-0.160170413192274,0.0882387622198263
