"","Excerpt.1","Excerpt.2","Excerpt.3","Excerpt.4","Excerpt.5","Excerpt.7","Excerpt.8","Excerpt.9","Excerpt.10","Excerpt.11","Excerpt.12","Excerpt.13","Excerpt.15","Excerpt.16","Excerpt.17","Excerpt.18","Excerpt.19","Excerpt.20","Excerpt.21","Excerpt.22","Excerpt.23","Excerpt.24","Excerpt.25","Excerpt.26","Excerpt.27","Excerpt.28","Excerpt.29","Excerpt.30"
"Dim.  1","-7.66  * * *","-9.6  * * *","-3.01 ","3.11 ","4.85  * * *","2.34 ","6.89  * * *","11.97  * * *","6.75  * * *","4.79  * * *","11.13  * * *","-7.2  * * *","-2.88 ","8.35  * * *","5.64  * * *","2.03 ","-3.83  * *","2.41 ","2.47 ","-5.58  * * *","-1.83 ","-1.6 ","-7.79  * * *","-2.19 ","0.83 ","3.18 ","0.41 ","3.96  * *"
"Dim.  2","-0.91 ","4.29  * *","-2.01 ","9.26  * * *","-5.03  * * *","-7.09  * * *","-0.97 ","-3.78  * *","3.7  *","3.71  *","1.23 ","-3.32  *","10.59  * * *","-4.7  * * *","-1.09 ","-1.15 ","0.15 ","-7.83  * * *","6.96  * * *","-0.03 ","-2.9 ","-0.75 ","3.52  *","3.03 ","7.38  * * *","4.31  * *","0.73 ","5.74  * * *"
"Dim.  3","7.94  * * *","5.7  * * *","7.88  * * *","-6.34  * * *","5.41  * * *","-2.42 ","-8.79  * * *","-10.41  * * *","-3 ","6.47  * * *","0.64 ","-2.62 ","-7.21  * * *","-1.39 ","-8.8  * * *","1.57 ","-3.44  *","4.12  * *","-9.62  * * *","-3.78  * *","3.03 ","6.41  * * *","0.9 ","-0.72 ","3.85  * *","-0.58 ","2.9 ","-1.51 "
