"","Excerpt.1","Excerpt.2","Excerpt.3","Excerpt.4","Excerpt.5","Excerpt.6","Excerpt.7","Excerpt.8","Excerpt.9","Excerpt.10","Excerpt.11","Excerpt.12","Excerpt.13","Excerpt.14","Excerpt.15","Excerpt.16","Excerpt.18","Excerpt.19","Excerpt.20","Excerpt.21","Excerpt.22","Excerpt.23","Excerpt.24","Excerpt.25","Excerpt.26","Excerpt.27","Excerpt.28","Excerpt.29","Excerpt.30"
"Dim.  1","-9.9  * * *","-26.81  * * *","22.63  * * *","11.21  * * *","-28.48  * * *","-12.73  * * *","-2.1 ","-39.8  * * *","-31.15  * * *","-16.4  * * *","10.67  * * *","8.22  * * *","-7.17  * * *","-18.89  * * *","0.5 ","4.77  * * *","-5.92  * * *","3.56  *","-1.37 ","-10.51  * * *","-3.72  *","2.62 ","6.23  * * *","10.85  * * *","10.56  * * *","-1.48 ","1.59 ","4.36  * * *","-0.46 "
"Dim.  2","-2.81 ","13.44  * * *","-8.23  * * *","2.9 ","-3.28 ","19.4  * * *","11.27  * * *","23.16  * * *","26.95  * * *","7.04  * * *","-3.85  * *","18.97  * * *","4.61  * * *","5.91  * * *","-8.62  * * *","-2.61 ","3.24 ","16.31  * * *","-19.26  * * *","11.27  * * *","-5.4  * * *","-11.37  * * *","6.06  * * *","-5.77  * * *","3.29 ","1 ","-10.66  * * *","-5.25  * * *","-4.95  * * *"
"Dim.  3","23.1  * * *","-0.42 ","-14  * * *","6.22  * * *","10.43  * * *","-20.15  * * *","-2.03 ","-10.29  * * *","-1.15 ","16.23  * * *","0.86 ","13.54  * * *","-10.25  * * *","-2.11 ","10.17  * * *","-10.48  * * *","-6.77  * * *","-1.27 ","-11.35  * * *","-0.59 ","-6.61  * * *","0.5 ","1.13 ","-1.98 ","-7.06  * * *","2.37 ","-6.39  * * *","-0.89 ","10.53  * * *"
