"","Aggressive","Bright","Colorful","Complex","Dancing","Dark","Dense","Disturbing","Dull","Exotic","Fast","Happy","Incisive","Light","Long","Melancholy","Monotonous","Mysterious","Powerful","Round","Sad","Short","Slow","Soft","Solemn","Sparse","Strong","Surprising","Transparent","Valiant","Varied","Warm","Weak"
"Dim.  1","-5.55  * * *","-2.31 ","0.52 ","-3.7  *","-1.43 ","33.44  * * *","0.4 ","-2.5 ","19.71  * * *","-5.84  * * *","-3.16 ","21.37  * * *","12.09  * * *","4.82  * * *","5.74  * * *","7.02  * * *","-9.9  * * *","4.88  * * *","0.29 ","-9.68  * * *","12.2  * * *","7.79  * * *","-7.62  * * *","-3.7  *","-0.36 ","3.61  *","-0.81 ","-2.79 ","-11.92  * * *","2.33 ","-4.19  * *","-3.75  *","-4.75  * * *"
"Dim.  2","-20.99  * * *","-27.92  * * *","16.29  * * *","-49.21  * * *","-12.27  * * *","6.58  * * *","1.8 ","37.39  * * *","1.86 ","-0.85 ","-10.09  * * *","-6.32  * * *","-7.28  * * *","16.36  * * *","19.78  * * *","-10.31  * * *","2.37 ","-10.35  * * *","-14.88  * * *","-0.78 ","-3.72  *","-22.24  * * *","2.2 ","13.83  * * *","8.6  * * *","0.91 ","2.82 ","0.44 ","-2.32 ","-1.71 ","2.05 ","-0.02 ","0.4 "
"Dim.  3","-24.91  * * *","34.39  * * *","13.79  * * *","-35.18  * * *","9.38  * * *","23.96  * * *","43.3  * * *","8.66  * * *","-3.85  * *","-10.98  * * *","6.84  * * *","-6.04  * * *","8.04  * * *","-1.65 ","-14.72  * * *","-2.3 ","15.8  * * *","-8.11  * * *","-16.17  * * *","3.45  *","-0.56 ","-1.84 ","5.28  * * *","9.92  * * *","5.41  * * *","10.4  * * *","-3.26 ","9.03  * * *","-0.98 ","-3.73  *","-9.96  * * *","-6.95  * * *","-0.16 "
